true_label,classifier_label,classifier_conf,small_label,small_conf,large_label,large_conf
short,short,0.663576778238934,long,0.9980732653366725,long,0.9999972735297293
short,short,0.5491272886550955,long,0.9859363729567545,short,0.7461389930307512
short,short,0.7010455936602162,short,0.7772998611746911,long,0.9998232548618965
short,long,0.5796357489577795,long,0.9999869928715335,long,0.9999999788552575
short,short,0.5912437500455601,long,0.7310585786300049,long,0.9999785550515791
short,short,0.5301926101941653,long,0.8807970779778824,short,0.5273165233795671
short,short,0.7456484435638928,long,0.9046505351008904,long,0.9732407168145568
short,short,0.7394968834659947,long,0.9971990703691874,long,0.9999996743687809
short,short,0.564186539108432,long,0.9968273171575148,long,0.9996898440132873
short,long,0.6300352392923297,long,0.9990889479375443,long,0.6757646010190476
short,short,0.6454904441527282,long,0.9626731126558705,long,0.9999947446042929
short,short,0.5735375543956746,long,0.991422514586288,long,0.999999998995473
short,short,0.6946499516994934,short,0.7772998611746912,long,0.9981030799255213
short,long,0.6309159498909309,long,0.9999785550515791,short,0.999999965138247
short,long,0.5335318628132146,long,0.9890130573694068,long,0.9999999687501115
short,long,0.529903642214639,long,0.9968273171575148,long,0.9999999913222192
short,short,0.6863722953962438,short,0.9999999999995806,long,0.6992544210587586
short,short,0.7096555369568505,short,0.8175744761936435,long,0.9993121488449448
short,short,0.6128787153716817,short,0.8519528019683105,long,0.9999524235457434
short,long,0.5897611327601339,long,0.9859363729567545,long,0.9999971869825159
short,long,0.6175348787220063,long,0.9999885212428198,long,0.5078118642792044
short,long,0.6330521732338167,short,0.7772998611746911,long,0.9591542840900507
short,short,0.7466533580358122,short,0.9999999999996735,short,0.9999999995877434
short,long,0.520233464897498,long,0.9999970976893987,long,0.9999999022276621
short,long,0.7254252505702858,long,0.9999998362624699,short,0.9999925887201281
short,long,0.5908916452240582,short,0.9999957771645417,short,0.9999942280744654
short,short,0.6560561177006456,long,0.99984156393197,long,0.9999999998198986
short,long,0.6196609055189923,long,0.9998601780576787,short,0.9999999850061431
short,short,0.652397028393711,long,0.6224593312018546,long,0.99999590708895
short,short,0.6276879715803934,long,0.7310585786300049,long,0.9973683260251154
short,short,0.5244451718128029,long,0.9999687980886061,long,0.7185943925708562
short,short,0.5835781005617955,short,0.679178699175393,long,0.9963500129687901
short,long,0.5391689527308479,long,0.9997965730219448,long,0.9999962733607158
short,short,0.595745355498408,long,0.8807970779778824,long,0.9999435020667162
short,long,0.5196181151672263,long,0.9999990577554061,short,0.5467381519846138
short,long,0.5323603644854231,long,0.99999211072989,short,0.999999966210782
short,long,0.6689328078759116,short,0.7057850278370112,short,0.9999997690930877
short,short,0.5933590350433396,long,0.9706877692486436,long,0.9999996310115038
short,long,0.5995559742630261,long,0.9992903296008994,long,0.9999999832731399
short,long,0.6384363842740288,long,0.9999999397642365,long,0.8221891305219504
short,long,0.6145692202283333,short,0.9999999999891841,long,0.97241471777321
short,short,0.6646450792136162,short,0.5,long,0.9999753170955924
short,long,0.5982107360366582,long,0.9890130573694068,long,0.9999998085712559
short,short,0.7291561362153397,short,0.5621765008857981,long,0.9996374099337167
short,long,0.7260069365489982,long,0.999999922655787,short,0.9999996310115038
short,short,0.5237520214489227,short,0.7772998611746912,long,0.999862345366311
short,short,0.6657942468710061,long,0.5621765008857982,long,0.997018967270145
short,long,0.5016691957616888,long,0.9706877692486436,long,0.9999990577554061
short,short,0.5091602194825455,short,0.5,long,0.9984021545059827
short,long,0.7167025318871929,long,0.9997965732159083,short,0.5273165233795671
short,short,0.5297304076182494,long,0.9990889479375443,long,0.6548947290421275
short,short,0.6154017521845107,short,0.8519528019683106,long,0.9994557867375674
short,long,0.5403513685804233,long,0.9241418199787564,long,0.9998464376023504
short,short,0.5979642843151223,long,0.9998415636298248,short,0.7371581626286834
short,long,0.6780113831085711,long,0.9995694425082408,long,0.9982453855899005
short,short,0.7217764173158444,short,0.9999999999975866,long,0.9799765587105448
short,long,0.5467703659184525,long,0.6224593312018545,long,0.7634837635542924
short,short,0.5589719859911123,long,0.9999756997592567,short,0.9999999946537794
short,short,0.5780760615855608,long,0.9998766054240138,long,0.9999999865595902
short,long,0.6119863415330437,long,0.9999910603122206,long,0.9999999989635878
short,short,0.7516265138242038,short,0.9999999999993086,short,0.9999999998112551
short,short,0.5556976977108916,short,0.9999999999998457,long,0.9974490875787133
short,long,0.5648230246047848,short,0.8807970779778824,short,0.9999999442910519
short,long,0.5779045157894542,long,0.9999957771705825,short,0.9999998055565996
short,short,0.5278341119215392,long,0.991422514586288,long,0.9999990278453811
short,long,0.5227967748024807,long,0.9999952149077868,long,0.9999999994276381
short,long,0.5337133200805261,long,0.9933071490757152,long,0.999999974890009
short,short,0.6703298100049704,short,0.9999999999771026,long,0.9867771782476948
short,long,0.6164505173188435,long,0.9999785550720302,short,0.9999999284683299
short,short,0.6162955671395118,long,0.7772998611746912,long,0.9992206339069791
short,short,0.5481826258712362,short,0.5,long,0.9999981261246164
short,short,0.5856163790113267,long,0.9947798743064415,long,0.9999999837877712
short,short,0.5206729644248095,long,0.8175744761936437,long,0.9993121488449448
short,short,0.5342345375865953,long,0.9706877692486436,long,0.999928580986001
short,short,0.7162658060895203,short,0.9999999999934398,long,0.9942697534850079
short,long,0.6136091996855321,long,0.9999999317439872,long,0.8539127529517043
short,short,0.6181992132891946,long,0.6224593312018545,long,0.9999928167396002
short,short,0.6379266352601468,long,0.9999869928839379,long,0.9999999538156595
short,long,0.5615746518525268,long,0.9859363729567545,long,0.9999998909272846
short,long,0.571678841268956,long,0.9999998144610751,short,0.9999950630063423
short,short,0.5175498680719175,long,0.6224593312018546,long,0.999988156860974
short,long,0.5367592795400471,long,0.9626731126558705,long,0.9998726889583779
short,short,0.5626429018725028,short,0.9999999999975866,long,0.9294404038127071
short,long,0.5636234218694631,long,0.9988304886209164,long,0.9999907765298899
short,short,0.593959840945168,short,0.9999999999985363,long,0.9994296842929217
short,long,0.5309416242768432,long,0.9999251538438629,short,0.679178699175393
short,short,0.5396786784952112,short,0.999999999986112,long,0.9996540083968218
short,short,0.6591109275435261,long,0.9820137900379085,long,0.9999999416175238
short,short,0.5531014672408563,long,0.9999417086787512,short,0.5078118642792043
short,short,0.7570985262954729,short,0.9999999999993086,long,0.9532750413739076
short,long,0.6857518992348824,long,0.999997739675702,short,0.7905303186696747
short,long,0.5123250716294907,long,0.9999921107449374,short,0.9999999994001701
short,short,0.7366684706133317,short,0.6224593312018546,long,0.9998557401355153
short,long,0.5357920813259917,long,0.9947798743064415,long,0.9999999925774936
short,short,0.5937973326108504,long,0.5621765008857982,long,0.9999813682535152
short,short,0.6971678477463158,short,0.5621765008857981,long,0.9973683260251154
short,long,0.5817254970396806,long,0.9995121424121877,long,0.9999999975137766
short,long,0.6547195103228926,long,0.9997965730219448,long,0.7577943712746406
short,short,0.611086415985494,long,0.7310585786300049,long,0.9997305208444411
short,long,0.6557064622088571,long,0.9999997617629196,short,0.999999990469327
short,short,0.6378036212503775,long,0.7310585786300048,long,0.9994207083300786
short,long,0.6275968052065014,long,0.7310585786300048,long,0.9950177302695787
short,short,0.6114807391124483,short,0.679178699175393,long,0.9991306326071938
short,short,0.7254104572801368,short,0.9046505351008906,long,0.9978510507163746
short,short,0.6694258680538138,long,0.5621765008857982,long,0.9996079582107624
short,short,0.5599216936914845,long,0.679178699175393,long,0.9995271455654797
short,short,0.6276988549006165,long,0.9959298622841039,long,0.9999999697115984
short,short,0.5418004361005645,long,0.9999251537724894,short,0.519521321952093
short,short,0.7465600355518063,short,0.9999999999999558,long,0.9997834559501049
short,short,0.5515622658081223,long,0.6224593312018545,long,0.9998313472460109
